6.95452E+17,Phnom Penh SEZ to Pilot Solar Panel System https://t.co/M3ZqF2ONGW #renewableenergy #solarenergy #solar,The Mekong Eye,"Bangkok, Thailand",null,,,,
6.95452E+17,RT @denversolarguy: [solar energy systems] #DIY #SolarEnergy Generator! https://t.co/FaX8oW96mz https://t.co/ZjjkzGs7EZ,Shakkha Spirit,Brussels,null,,,,
6.95452E+17,"The world\u2019s biggest solar plant takes important step forward: Ouarzazate,\u2026 https://t.co/0dZpETaF2X #emission #solarenergy #Photovoltaic",Energy - EGuru,"San Francisco, Ca",null,,,,
6.9545E+17,[solar energy systems] #DIY #SolarEnergy Generator! https://t.co/FaX8oW96mz https://t.co/ZjjkzGs7EZ,Viking Services,"Denver, CO",null,,,,
6.95449E+17,Cambodian SEZ Taking Solar Power Step | Khmer Times https://t.co/rt2pdeH4Ea #renewableenergy #solarenergy #solar,The Mekong Eye,"Bangkok, Thailand",null,,,,
6.95449E+17,RT @uitbooks: RT to #win a copy of new #SolarEnergy textbook #giveaway #book T&amp;Cs apply: https://t.co/pvy6VzYHbJ https://t.co/I8rbrwcPTr,Macky Bradley,Lakeway/ Dripping Springs ,null,,,,
6.95447E+17,RT denversolarguy #Everglades #University #SolarEnergy Teaching Lab - Bradenton Herald https://t.co/PiCdcgIBl4,Mark Cote,Tampa FL,null,,,,
6.95445E+17,RT MissouriWind Now that's making good use of natural resources. https://t.co/MNLwmFUn60 \n#solarpower #solarenergy #alternativeenergy #ren\u2026,Solar Solutions Team,"Brentwood, CA",null,,,,
6.95445E+17,RT denversolarguy #Everglades #University #SolarEnergy Teaching Lab - Bradenton Herald https://t.co/FyHr4wB1ry,Solar Solutions Team,"Brentwood, CA",null,,,,
6.95445E+17,RT harry_caplan35 Every1 plz help out. lets change the world. https://t.co/1Nt7XgjOIg #helpout #solar #solarenergy #solarcity #firstsolar \u2026,Solar Solutions Team,"Brentwood, CA",null,,,,
6.95445E+17,RT itsforhome #SolarEnergy: Ravalli Electric Co op expands Valley Solar project ... https://t.co/yQ9OtCw5qY,Solar Solutions Team,"Brentwood, CA",null,,,,
6.95445E+17,RT MissouriWind Now that's making good use of natural resources. https://t.co/MNLwmFCMes \n#solarpower #solarenergy #alternativeenergy #ren\u2026,Solar Solutions Team,"Brentwood, CA",null,,,,
6.95445E+17,RT itsforhome #SolarEnergy: David Suzuki Solar power coming of age at a critical time ... https://t.co/Qtn7gjViH2,Solar Solutions Team,"Brentwood, CA",null,,,,
6.95445E+17,RT carbonfeet #solarenergy David Suzuki: Solar power coming of age at a critical time - https://t.co/x8C8WlaoT5 https://t.co/MBIG0sTVEd,Solar Solutions Team,"Brentwood, CA",null,,,,
6.95445E+17,RT carbonfeet #solarenergy CIAL model solar power units to come up at railway stations - The Hindu https://t.co/09YvhqBV8I,Solar Solutions Team,"Brentwood, CA",null,,,,
6.95445E+17,#Everglades #University #SolarEnergy Teaching Lab - Bradenton Herald https://t.co/BmGwSyW8az,Viking Services,"Denver, CO",null,,,,
6.95444E+17,Every1 plz help out. lets change the world. https://t.co/aPTT1EKWKV #helpout #solar #solarenergy #solarcity #firstsolar #cnbc #PlanetEarth,Harrison Caplan,,null,,,,
6.95443E+17,RT carbonfeet #solarenergy David Suzuki: Solar power coming of age at a critical time - https://t.co/FBL1b2vJVY https://t.co/KkPxPQHIMc,Marjorie D. Ramirez,"Savannah, GA",null,,,,
6.95443E+17,RT carbonfeet #solarenergy CIAL model solar power units to come up at railway stations - The Hindu https://t.co/nPuzCJ8ZWT,Marjorie D. Ramirez,"Savannah, GA",null,,,,
6.95443E+17,#SolarEnergy: Ravalli Electric Co op expands Valley Solar project ... https://t.co/Cs58s5zYIK,Its For Home,Boulder CO,null,,,,
6.95443E+17,Now that's making good use of natural resources. https://t.co/hBb8tUh8Hs \n#solarpower #solarenergy #alternativeenergy #renewableenergy,Missouri Wind,"Seymour, Missouri",null,,,,
6.95443E+17,#SolarEnergy: David Suzuki Solar power coming of age at a critical time ... https://t.co/JdemSelgtS,Its For Home,Boulder CO,null,,,,
6.95442E+17,#solarenergy David Suzuki: Solar power coming of age at a critical time - https://t.co/nQbXKIjehW https://t.co/SWbbYf2sQg,Carbonfeet,Planet Earth,null,,,,
6.95442E+17,#solarenergy CIAL model solar power units to come up at railway stations - The Hindu https://t.co/VUleLRd9YD,Carbonfeet,Planet Earth,null,,,,
6.95442E+17,RT RotimiOrims ritetagAPI #SolarEnergy stats,Solar Solutions Team,"Brentwood, CA",null,,,,
6.95442E+17,RT AmbitEnergyGal #California! Are you looking for #ExtraIncome? https://t.co/QrzgHbzgUv #solarpower #solarenergy https://t.co/Z66XozRXZq,Solar Solutions Team,"Brentwood, CA",null,,,,
6.95442E+17,RT DruCrawley Solar = Jobs https://t.co/spBueBZgnS SEIA #renewables #solarenergy https://t.co/J23kpEje5v,Solar Solutions Team,"Brentwood, CA",null,,,,
6.95442E+17,RT AmbitEnergyGal #California! Are you looking for #ExtraIncome? https://t.co/QrzgHbhG2X #solarpower #solarenergy https://t.co/Z66XoA9zo0,Solar Solutions Team,"Brentwood, CA",null,,,,
6.95441E+17,@ritetagAPI #SolarEnergy stats,Rotimi Orimoloye,Nigeria,null,,,,
6.95439E+17,RT @martindunphy: @DavidSuzuki looks at some game-changing #technology affecting #solarenergy gathering and utilization. #fossilfuels https\u2026,Digital Period,,null,,,,
6.95439E+17,RT @martindunphy: @DavidSuzuki looks at some game-changing #technology affecting #solarenergy gathering and utilization. #fossilfuels https\u2026,CToth,,null,,,,
6.95438E+17,#California! Are you looking for #ExtraIncome? https://t.co/szfP9mtWpU #solarpower #solarenergy https://t.co/PBPGLyeK8H,Theresa Wilkins,Upstate New York,null,,,,
6.95438E+17,GREEN. Morocco Unveils A Massive Solar Power Plant In The Sahara : The Two-Way : NPR #greenenergy #solarenergy  https://t.co/5z5R8SRCUf,Live. Love. Own.,"Westchester County, NY",null,,,,
6.95438E+17,RT DrakeAloysius #solar #solarenergy #renewableenergy #Morocco #alternative #energy #renewables #cool #hot #scienc\u2026 https://t.co/cVihoMVNMn,Solar Solutions Team,"Brentwood, CA",null,,,,
6.95438E+17,Solar = Jobs https://t.co/2mEqXikI2q @SEIA #renewables #solarenergy https://t.co/r2T92zfF99,Dru Crawley,"Washingon, DC",null,,,,
6.95437E+17,#solar #solarenergy #renewableenergy #Morocco #alternative #energy #renewables #cool #hot #science #technology https://t.co/D68Vy0YcOx,Drake Aloysius,Latitude 0' 0,null,,,,
6.95434E+17,RT AlexandersIOT Our Solarpanels have generated a total of 8444 kWh since install date 21 september 2013 #solarenergy,Solar Solutions Team,"Brentwood, CA",null,,,,
6.95434E+17,RT ReneSola KochiAirport had created a model for the whole country in #SolarEnergy generation  \u2192 \u2026 https://t.co/fstV0wXxft,Solar Solutions Team,"Brentwood, CA",null,,,,
6.95434E+17,Our Solarpanels have generated a total of 8444 kWh since install date 21 september 2013 #solarenergy,Alex IoT,Netherlands,null,,,,
6.95433E+17,@KochiAirport had created a model for the whole country in #SolarEnergy generation  \u2192 https://t.co/Bl35n5M25K https://t.co/rgRiREZcho,ReneSola,"Shanghai, China",null,,,,
6.95433E+17,RT @solarsolnsteam: RT straightnews David Suzuki: #Solarpower coming of age at a critical time https://t.co/d9s87TdXN4 #solarenergy https:/\u2026,Energy Renaissance,"Sydney, New South Wales",null,,,,
6.95432E+17,RT martindunphy DavidSuzuki looks at some game-changing #technology affecting #solarenergy gathering and utilizati\u2026 https://t.co/Uyh0X3t4Fg,Marjorie D. Ramirez,"Savannah, GA",null,,,,
6.95432E+17,RT straightnews David Suzuki: #Solarpower coming of age at a critical time https://t.co/vCRPDfO63y #solarenergy https://t.co/PlY9ic9rqM,Marjorie D. Ramirez,"Savannah, GA",null,,,,
6.9543E+17,RT martindunphy DavidSuzuki looks at some game-changing #technology affecting #solarenergy gathering and utilizati\u2026 https://t.co/Y9CPd2T6n1,Solar Solutions Team,"Brentwood, CA",null,,,,
6.9543E+17,RT straightnews David Suzuki: #Solarpower coming of age at a critical time https://t.co/d9s87TdXN4 #solarenergy https://t.co/DV5x7ZML8G,Solar Solutions Team,"Brentwood, CA",null,,,,
6.9543E+17,RT itsforhome #SolarEnergy: Morocco Dedicates 1st Phase of Massive Solar Power Plant ... https://t.co/GJ41MA0uJX,Solar Solutions Team,"Brentwood, CA",null,,,,
6.9543E+17,@DavidSuzuki looks at some game-changing #technology affecting #solarenergy gathering and utilization. #fossilfuels https://t.co/Z86nVUKTiL,Martin Dunphy,Vancouver,null,,,,
6.9543E+17,RT @straightnews: David Suzuki: #Solarpower coming of age at a critical time https://t.co/cPmsPoWjKZ #solarenergy https://t.co/4A4ptRESLJ,relinquishh,,null,,,,
6.95429E+17,RT @straightnews: David Suzuki: #Solarpower coming of age at a critical time https://t.co/cPmsPoWjKZ #solarenergy https://t.co/4A4ptRESLJ,Energy Renaissance,"Sydney, New South Wales",null,,,,
6.95429E+17,David Suzuki: #Solarpower coming of age at a critical time https://t.co/cPmsPoWjKZ #solarenergy https://t.co/4A4ptRESLJ,Straight News,Vancouver,null,,,,
6.95428E+17,#SolarEnergy: Morocco Dedicates 1st Phase of Massive Solar Power Plant ... https://t.co/rLPc3rJ0aI,Its For Home,Boulder CO,null,,,,
6.95427E+17,RT @solarsolnsteam: RT myclimatejapan #\u30bd\u30fc\u30e9\u30fc\u30d1\u30ef\u30fc \u3092\u4f7f\u3063\u3066\u6c34\u7d20\u30ac\u30b9\u3092\u4f5c\u308c\u308b?! We're One Step Closer to Creating Hydrogen Fuel Cells #solarenergy \u2026 https://\u2026,Thirumaal Arumugam,"Madras, India",null,,,,
6.95426E+17,RT presscoreca Compact #energy capacitor cells solution for #electriccar &amp; #solarenergy; charges/recharges quicker\u2026 https://t.co/zf8riv3uMV,Solar Solutions Team,"Brentwood, CA",null,,,,
6.95426E+17,RT myclimatejapan #\u30bd\u30fc\u30e9\u30fc\u30d1\u30ef\u30fc \u3092\u4f7f\u3063\u3066\u6c34\u7d20\u30ac\u30b9\u3092\u4f5c\u308c\u308b?! We're One Step Closer to Creating Hydrogen Fuel Cells #solarenergy \u2026 https://t.co/TKC27r38qB,Solar Solutions Team,"Brentwood, CA",null,,,,
6.95425E+17,Compact #energy capacitor cells solution for #electriccar &amp; #solarenergy; charges/recharges quicker than batteries https://t.co/9Hs4e1CcAe,PRESS Core,Canada,null,,,,
6.95423E+17,#\u30bd\u30fc\u30e9\u30fc\u30d1\u30ef\u30fc \u3092\u4f7f\u3063\u3066\u6c34\u7d20\u30ac\u30b9\u3092\u4f5c\u308c\u308b?! We're One Step Closer to Creating Hydrogen Fuel Cells #solarenergy https://t.co/FGk5KRSWjW https://t.co/OaIVBxx4be,myclimate Japan,\u65e5\u672c \u6771\u4eac\u90fd,null,,,,
6.95423E+17,"RT Sinovoltaics PV Quality Control: Heavy, large PV modules.. #solar #solarenergy https://t.co/QmgvAmVrGd https://t.co/DGA8xEMu9y",Solar Solutions Team,"Brentwood, CA",null,,,,
6.95422E+17,"RT @ParksAssociates: At #SES2016, industry executives will examine the role of #solarenergy in the #smarthome: https://t.co/SkdsGHtLst http\u2026",OVVets.org,SE Ohio,null,,,,
6.95422E+17,RT @uitbooks: RT to #win a copy of new #SolarEnergy textbook #giveaway #book T&amp;Cs apply: https://t.co/pvy6VzYHbJ https://t.co/I8rbrwcPTr,OVVets.org,SE Ohio,null,,,,
6.95419E+17,"PV Quality Control: Heavy, large PV modules.. #solar #solarenergy https://t.co/AFiYM9tlX1 https://t.co/Rapva4vB3G",Sinovoltaics.com,Shanghai,null,,,,
